Case Number,Date/Time,Created Time,Category,Subject,Corporate Name,Mode of Payment,Resolution
71806337,11/27/2024,12:20 pm,Pine Gateway Complaint Related,Re: [## 632775 ##] pharmeasytech <> PINELABS <> SR Drop Payment Method(s) (Volume ~ 253 txns),TechFlow Solutions Pvt Ltd PG,,
70663630,11/4/2024,04:35 pm,Pine Gateway Complaint Related,Spike observed in SR Failure reason- TRANSACTION FAILED DUE TO LATE AUTH ( NewTicket,DIGITAL COMMERCE LTD,,
71452936,11/19/2024,12:23 pm,Pine Gateway Complaint Related,URGENT- Clarification required on {TOKENIZATION FAILED} SR failure reason.,DIGITAL COMMERCE LTD,,
71693241,11/24/2024,10:00 am,Pine Gateway Complaint Related,"Clarification required on SR Failure reason- ""CAPTURE REJECTED BY ACQUIRER""",DIGITAL COMMERCE LTD,,
70686998,11/5/2024,04:38 pm,Pine Gateway Complaint Related,Utility SR drop@051124,FINTECH INNOVATIONS PVT LTD PG,,
70854262,11/13/2024,02:38 pm,Pine Gateway Complaint Related,Cashify || SR Monitoring,Commerce Hub Private Limited_6882,,
71470396,11/19/2024,04:41 pm,Pine Gateway Complaint Related,"Re: SR Drop| OOZpLEHT05AYrm, KUn9L25BRuiazA|CheqCheq",FINTECH INNOVATIONS PVT LTD PG,,
71707037,11/24/2024,10:10 pm,Pine Gateway Complaint Related,Invalid request parameters in Process  payment API leading to Transaction Failure,TechFlow Solutions Pvt Ltd PG,,
71765631,11/26/2024,11:49 am,Pine Gateway Complaint Related,RE: SR for Anarock (326792),proptech group business services private limited_6916,,
71767660,11/26/2024,12:35 pm,Pine Gateway Complaint Related,Retailio || SR Analysis,cloud retail solutions private limited_6938,,
69526532,10/4/2024,1:17 pm,Pine Gateway Complaint Related,Re:[## 616298 ##] cashify <> PINELABS <> Zero SR Payment Method(s) (Volume ~ 163 txns),Commerce Hub Private Limited_6882,,
69637861,10/8/2024,6:31 pm,Pine Gateway Complaint Related,Pinelabs SR Failure reasons- 8 Oct,Digital Commerce Ltd,,
69664649,10/9/2024,6:49 pm,Pine Gateway Complaint Related,SR Failure reason- INVALID_Request,DIGITAL COMMERCE LTD,,
69708998,10/11/2024,9:43 am,Pine Gateway Complaint Related,RE: Pinelabs Payment Gateway Failure & Cashback issue,techcorp,,
69742604,10/12/2024,4:41 pm,Pine Gateway Complaint Related,Oneplus || Pienlabs || SR Drop,MOBILE TECH I PVT LTD PG,,
69792936,10/14/2024,11:41 pm,Pine Gateway Complaint Related,Re:[## 608254 ##] hopscotch <> PINELABS <> Zero SR Payment Method(s) (Volume ~ 103 txns) NewTicket,Fashion Connect LLP_6840,,
69818825,10/15/2024,3:16 pm,Pine Gateway Complaint Related,ayro retail solutions private limited_6938| SR Rate,cloud retail solutions private limited_6938,,
69889858,10/17/2024,1:46 pm,Pine Gateway Complaint Related,Trxns Failing via RBL Acquirer MID 326971,Travel Solutions Private Limited,,
70217254,10/22/2024,7:45 pm,Pine Gateway Complaint Related,MID: 326816 & 326817 - One card transactions failure,FINTECH INNOVATIONS PVT LTD PG,,
70234904,10/23/2024,9:56 am,Pine Gateway Complaint Related,FW: Timeouts on payments API,innovate technologies pvt ltd,,
70329060,10/24/2024,5:33 pm,Pine Gateway Complaint Related,Re: Transaction Getting Failed,TRAVEL PLANNERS LIMITED - PG,,
70324488,10/24/2024,3:57 pm,Pine Gateway Complaint Related,SR Drop - Paycel,Payment Solutions India Private Limited PG,,
70337359,10/24/2024,6:33 pm,Pine Gateway Complaint Related,ayro retail solutions private limited_6938 Low SR issue.,Commerce Hub Private Limited_6882,,
70323350,10/24/2024,3:20 pm,Pine Gateway Complaint Related,Re: Error in Payment Gateway | DMSF,EduTech Private Limited,,
70323401,10/24/2024,3:23 pm,Pine Gateway Complaint Related,Re: Error in Payment Gateway | DMSF,EDUTECH PRIVATE LIMITED,,
70354972,10/25/2024,10:12 am,Pine Gateway Complaint Related,ayro retail solutions private limited_6938 Low SR issue.,cloud retail solutions private limited_6938,,
70448597,10/28/2024,12:54 pm,Pine Gateway Complaint Related,Spike observed in SR Failure reason- TRANSACTION FAILED DUE TO LATE AUTH (,DIGITAL COMMERCE LTD,,
70457379,10/28/2024,3:13 pm,Pine Gateway Complaint Related,PUMA SPORTS INDIA PVT LTD PG| SR Rate,SPORTS GEAR INDIA PVT LTD PG,,
72595495,12/20/2024,03:48 pm,Pine Gateway Complaint Related,CC EMI not working----326986---- Star Health--- Urgent,HEALTHINSURE AND ALLIED EASEBUZZ,,"Transactions failing, parked to plural tech"
72702996,12/25/2024,05:55 pm,Pine Gateway Complaint Related,EASY TRIP PLANNERS LIMITED - SR fluctuation,TRAVEL PLANNERS LIMITED_6964,,Resolved by analysis
72158593,12/5/2024,11:46 am,Pine Gateway Complaint Related,URGENT <<>>Cybs Axis Trancsactions are getting failed || SR fluctuation observed,MEGA RETAIL LIMITED ONLINEMART JMD ASP,,
73426596,1/24/2025,04:00 pm,Pine Gateway Complaint Related,"IMP: Drop in Conversion Rate, OPPO",MetaTech I Tech Pvt Ltd PG,,Low success Rate
